判定,PSA番号,タイトル,メルカリURL,メルカリ価格,コラボ名,eBay最安,eBay中央値,eBay最高,eBay出品数,出品価格,利益(¥),利益率,理由
HOLD,95277702,アルティメットバトル ベジータ PSA10,https://jp.mercari.com/item/m63343492362,45000,,150.0,460.0,1200.0,18,474.98,,,
GO,152272463,【PSA10】かめはめ波 FS01-15 墨絵 パラレル,https://jp.mercari.com/item/m43144927231,19000,,459.46,459.46,459.46,2,211.98,"3,389",10%,
HOLD,92438206,フュージョンワールド　ベジータ　エナジーマーカー01 PSA10,https://jp.mercari.com/item/m76904863568,17000,,160.0,198.0,204.06,13,208.98,,,
UNKNOWN,138993106,【PSA10】ギガンティックミーティア C★ FS03-15,https://jp.mercari.com/item/m75644226298,18888,,,,,,,,,
UNKNOWN,,フュージョンワールド エナジーマーカー 孫悟空 構え PSA10 ①,https://jp.mercari.com/item/m73268861091,19999,,,,,,,,,
UNKNOWN,,PSA10 ドラゴンボール フュージョンワールド ブルマ エナジーマーカー,https://jp.mercari.com/item/m75006232806,49000,,,,,,,,,
GO,89118245,PSA10 ゴクウブラック FB01-039 エナジーマーカー　マンガブースター,https://jp.mercari.com/item/m16260603277,11900,,150.0,170.0,188.48,3,152.98,"3,701",15%,
HOLD,92650702,孫悟飯エナジーマーカー　PSA10,https://jp.mercari.com/item/m71060542243,31500,,239.0,310.0,558.27,36,337.98,,,
UNKNOWN,95157623,ドラゴンボール フュージョンワールド　2024scr 孫悟飯　 psa8セット,https://jp.mercari.com/item/m59159246427,16000,,,,,,,,,
GO,92862502,アルティメットバトル　（孫悟飯:少年期）ＦB01-090 psa10,https://jp.mercari.com/item/m81872257827,8480,,88.0,123.98,430.0,4,114.98,"2,749",15%,
GO,89003768,PSA10 ゴクウブラック エナジーマーカー パラレル ドラゴンボール,https://jp.mercari.com/item/m36757980597,15700,,138.0,200.0,225.98,19,194.98,"4,733",15%,
GO,140809031,ドラゴンボール フュージョンワールド ゴテンクス SB02-022 PSA10,https://jp.mercari.com/item/m63353967203,39000,,325.0,500.0,1350.0,11,413.98,"6,630",10%,
UNKNOWN,140463963,PSA10 ドラゴンボール　マンガブースター　孫悟天、トランクス　少年期　最安値,https://jp.mercari.com/item/m10240139963,16333,,,,,,,,,
HOLD,91433630,PSA10 ベジータ エナジーマーカー パラレル ドラゴンボールカード,https://jp.mercari.com/item/m76351375075,17899,,160.0,198.0,204.06,13,218.98,,,
UNKNOWN,,2024 DBS FSN WORLD JP ベジット PSA10,https://jp.mercari.com/item/m20009734931,30000,,,,,,,,,
UNKNOWN,,PSA10 悟空 フリーザ SCR FB05-119 FB05-120 パラレル,https://jp.mercari.com/item/m77950446201,46900,,,,,,,,,
UNKNOWN,,フュージョンワールド FB05-053 孫悟空(漫画絵) PSA10 ②,https://jp.mercari.com/item/m72794340265,15499,,,,,,,,,
UNKNOWN,,フュージョンワールド FB05-053 孫悟空(漫画絵) PSA10 ①,https://jp.mercari.com/item/m78886041098,15499,,,,,,,,,
GO,141085873,PSA10 ドラゴンボール　マンガブースター　ブルマ　SB02-044,https://jp.mercari.com/item/m98456567455,29999,,230.0,341.04,550.0,4,322.98,"5,161",10%,
HOLD,100424624,2024 DBS-FSN WORLD JP ベジータ GEM MT 10,https://jp.mercari.com/item/m96763840105,45000,,150.0,460.0,1200.0,18,474.98,,,
GO,88271251,【psa10】ブロリー　エナジーマーカー,https://jp.mercari.com/item/m29314839446,13799,,148.0,217.4,250.0,29,173.98,"4,218",15%,
HOLD,91248008,PSA10 エナジーマーカーフュージョンワールド　ギニュー,https://jp.mercari.com/item/m21729477875,12500,,120.0,120.0,120.0,8,159.98,,,
GO,103193829,ドラゴンボール スパーキングゼロ エナジーマーカー PSA10,https://jp.mercari.com/item/m33956407415,44444,,335.0,500.0,1767.15,4,468.98,"7,514",10%,
GO,140415022,超希少世界に16枚孫悟空 R★ [SB02-004] psa10,https://jp.mercari.com/item/m34156222345,23999,,269.99,349.95,353.43,7,262.98,"4,258",10%,
UNKNOWN,,孫悟飯　エナジーマーカー　PSA10 E01-10,https://jp.mercari.com/item/m38757138939,32222,,,,,,,,,
GO,98407308,ドラゴンボールフュージョンワールド孫悟飯幼年期psa10,https://jp.mercari.com/item/m90930903520,29500,,400.98,612.61,612.61,2,317.98,"5,085",10%,
UNKNOWN,89759729,2024 ドラゴンボールカード ソンゴハン,https://jp.mercari.com/item/m99601255028,40000,,,,,,,,,
HOLD,146110685,ダイマツリ悟空Psa10,https://jp.mercari.com/item/m74878355616,29800,,245.98,299.0,350.0,5,348.98,,,
HOLD,92481167,【PSA10】孫悟飯 エナジーマーカー パラレル E01-10,https://jp.mercari.com/item/m25785315712,35999,,239.0,310.0,558.27,36,383.98,,,
NOGO,93823456,エナジーマーカー(孫悟飯) [E01-10]PSA10,https://jp.mercari.com/item/m44148587500,39000,,239.0,310.0,558.27,36,413.6,,,
UNKNOWN,,【PSA10】ドラゴンボール ベジータ エナジーマーカー,https://jp.mercari.com/item/m64776557318,20000,,,,,,,,,
HOLD,93223094,ドラゴンボールフュージョンワールド 孫悟飯 エナジーマーカー PSA10 英語,https://jp.mercari.com/item/m97570201984,29800,,239.0,310.0,558.27,36,320.98,,,
NOGO,91128072,孫悟飯　エナジーマーカー PSA10 E01-10,https://jp.mercari.com/item/m25757393254,48888,,239.0,310.0,558.27,36,513.35,,,
UNKNOWN,,PSA10 ギガンティックミーティア FS03-15 ブロリー　ドラゴンボール,https://jp.mercari.com/item/m30453614736,20000,,,,,,,,,
NOGO,95168982,ドラゴンボール　孫悟飯　エナジーマーカー　PSA10,https://jp.mercari.com/item/m70945606263,37777,,239.0,310.0,558.27,36,401.26,,,
NOGO,98116729,ドラゴンボール【PSA10】孫悟飯 エナジーマーカー01パラレル E01-10,https://jp.mercari.com/item/m60897857302,38000,,239.0,310.0,558.27,36,403.51,,,
UNKNOWN,99703901,[PSA鑑定品- GEM MINT10]ドラゴンボールカード 孫悟空ASEC2,https://jp.mercari.com/item/m27611489750,9500,,,,,,,,,
UNKNOWN,,【PSA10】ギガンティックミーティア　ブロリー　パラレル　墨絵,https://jp.mercari.com/item/m65715263035,29999,,,,,,,,,
UNKNOWN,,PSA10 ドラゴンボール エナジーマーカー 悟空ブラック E01-07,https://jp.mercari.com/item/m70816744766,18000,,,,,,,,,
HOLD,91128228,アルティメットバトル 孫悟飯 psa10,https://jp.mercari.com/item/m23230655373,9999,,88.0,123.98,430.0,4,131.98,,,
UNKNOWN,,孫悟飯 エナジーマーカー 少年期 E01-10 パラレル,https://jp.mercari.com/item/m10103526043,35300,,,,,,,,,
UNKNOWN,,孫悟空 エナジーマーカー PSA10,https://jp.mercari.com/item/m62565984166,22222,,,,,,,,,
UNKNOWN,88144037,【psa10】 ゴールデンフリーザ SRパラレル,https://jp.mercari.com/item/m68578697474,18299,,,,,,,,,
HOLD,88746393,【psa10】孫悟飯:少年期　エナジーマーカー,https://jp.mercari.com/item/m64500491136,32599,,239.0,310.0,558.27,36,349.98,,,
NOGO,88797121,PSA10 エナジーマーカー 孫悟飯 ドラゴンボールカード,https://jp.mercari.com/item/m79165595804,48900,,239.0,310.0,558.27,36,513.47,,,
